Time,Commitment,Opinion,Neighbors
0,2,2,13
5,2,2;2;2;2;2,13;13;13;13;13
10,1,2;1;1;1;1,13;13;13;13;13
15,1,1;1;1;1;1,13;13;13;13;13
20,2,1;2;2;2;2,13;13;13;13;13
25,2,2;2;2;2;2,13;13;13;13;13
30,2,2;2;2;2;2,13;13;13;13;13
35,2,2;2;2;2;2,13;13;13;13;13
40,2,2;2;2;2;2,13;13;13;13;13
45,2,2;2;2;2;2,13;13;13;13;13
50,2,2;2;2;2;2,13;13;13;13;13
55,2,2;2;2;2;2,13;13;13;13;13
60,2,2;2;2;2;2,13;13;13;13;13
65,2,2;2;2;2;2,13;13;13;13;13
70,2,2;2;2;2;2,13;13;13;13;13
75,2,2;2;2;2;2,13;13;13;13;13
80,2,2;2;2;2;2,13;13;13;13;13
85,2,2;2;2;2;2,13;13;13;13;13
90,1,2;0;0;1;1,13;13;13;13;13
95,2,1;2;2;2;2,13;13;13;13;13
100,1,2;0;1;1;1,13;13;13;12;12
105,2,1;2;2;2;2,12;12;12;12;12
110,2,2;2;2;2;2,12;12;12;12;12
115,2,2;2;2;2;2,12;12;12;12;12
120,2,2;2;2;2;2,12;12;12;12;13
125,2,2;2;2;2;2,13;13;13;13;13
130,2,2;2;2;2;2,13;13;13;13;13
135,2,2;2;2;2;2,13;13;13;13;13
140,2,2;2;2;2;2,13;13;13;13;13
145,2,2;2;2;2;2,13;13;13;13;13
150,2,2;2;2;2;2,13;13;13;13;13
155,2,2;2;2;2;2,13;13;13;13;13
160,2,2;2;2;2;2,13;13;13;13;13
165,2,2;2;2;2;2,13;13;13;13;13
170,2,2;2;2;2;2,13;13;13;13;13
175,2,2;2;2;2;2,13;13;13;13;13
180,2,2;2;2;2;2,13;13;13;13;13
185,1,2;0;0;0;1,13;13;13;13;13
190,2,1;2;2;2;2,13;13;13;13;13
195,2,2;2;2;2;2,13;13;13;13;13
200,1,2;0;0;0;1,13;13;13;13;13
205,1,1;1;1;1;1,13;13;13;13;13
210,2,1;2;2;2;2,13;13;13;13;13
215,2,2;2;2;2;2,13;13;13;13;13
220,2,2;2;2;2;2,13;13;13;13;13
225,2,2;2;2;2;2,13;13;13;13;13
230,2,2;2;2;2;2,13;13;13;13;13
235,2,2;2;2;2;2,13;13;13;13;13
240,2,2;2;2;2;2,13;13;13;13;13
245,2,2;2;2;2;2,13;13;13;13;13
250,2,2;2;2;2;2,13;13;13;13;13
255,2,2;2;2;2;2,13;13;13;13;13
260,2,2;2;2;2;2,13;13;13;13;13
265,2,2;2;2;2;2,13;13;13;13;13
270,1,2;0;0;0;0,13;13;13;13;13
275,2,1;2;2;2;2,13;13;13;13;13
280,2,2;2;2;2;2,13;13;13;13;13
285,2,2;2;2;2;2,13;13;13;13;13
290,1,2;0;0;0;0,13;13;13;13;13
295,2,0;2;2;2;2,13;13;13;13;13
300,2,2;2;2;2;2,13;13;13;13;13
305,2,2;2;2;2;2,13;13;13;13;13
310,2,2;2;2;2;2,13;13;13;13;13
315,2,2;2;2;2;2,13;13;13;13;13
320,2,2;2;2;2;2,13;13;13;13;13
325,2,2;2;2;2;2,13;13;13;13;13
330,2,2;2;2;2;2,13;13;13;13;13
335,2,2;2;2;2;2,13;13;13;13;13
340,2,2;2;2;2;2,13;13;13;13;13
345,2,2;2;2;2;2,13;13;13;13;13
350,2,2;2;2;2;2,13;13;13;13;13
355,2,2;2;2;2;2,13;13;13;13;13
360,2,2;2;2;2;2,13;13;13;13;13
365,2,2;2;2;2;2,13;13;13;13;13
370,2,2;2;2;2;2,13;13;13;13;13
375,2,2;2;2;2;2,13;13;13;13;13
380,2,2;2;2;2;2,13;13;13;13;13
385,2,2;2;2;2;2,13;13;13;13;13
390,2,2;2;2;2;2,13;13;13;13;13
395,2,2;2;2;2;2,13;13;13;13;13
400,2,2;2;2;2;2,13;13;13;13;13
405,2,2;2;2;2;2,13;13;13;13;13
410,2,2;2;2;2;2,13;13;13;13;13
415,2,2;2;2;2;2,13;13;13;13;13
420,2,2;2;2;2;2,13;13;13;13;13
425,2,2;2;2;2;2,13;13;13;13;13
430,2,2;2;2;2;2,13;13;13;13;13
435,2,2;2;2;2;2,13;13;13;13;13
440,2,2;2;2;2;2,13;13;13;13;13
445,2,2;2;2;2;2,13;13;14;14;14
450,2,2;2;2;2;2,14;14;14;14;14
455,2,2;2;2;2;2,14;14;14;14;14
460,2,2;2;2;2;2,14;14;14;14;14
465,2,2;2;2;2;2,14;14;14;14;14
470,2,2;2;2;2;2,14;14;14;14;14
475,2,2;2;2;2;2,14;14;14;14;14
480,2,2;2;2;2;2,14;14;14;14;14
485,2,2;2;2;2;2,14;14;14;14;14
490,2,2;2;2;2;2,14;14;14;14;14
495,2,2;2;2;2;2,14;14;14;14;14
500,2,2;2;2;2;2,14;14;14;14;14
505,2,2;2;2;2;2,14;14;14;14;14
510,2,2;2;2;2;2,14;14;14;14;14
515,2,2;2;2;2;2,14;14;14;14;14
520,2,2;2;2;2;2,14;14;14;14;14
525,2,2;2;2;2;2,14;14;14;14;14
530,2,2;2;2;2;2,14;14;14;14;14
535,2,2;2;2;2;2,14;14;14;14;14
