Time,Commitment,Opinion,Neighbors
0,2,2,11
5,2,2;2;2;2;2,11;11;11;11;11
10,2,2;2;2;2;2,11;11;11;11;11
15,1,2;2;2;1;1,10;10;10;10;10
20,1,1;1;1;1;1,10;10;10;10;10
25,2,1;1;1;2;2,10;10;10;10;10
30,1,2;2;2;1;1,10;10;10;10;10
35,1,1;1;1;1;1,10;10;10;10;11
40,2,1;1;1;0;2,11;11;11;11;11
45,2,2;2;2;2;2,11;11;11;11;11
50,2,2;2;2;2;2,10;10;10;10;10
55,1,2;2;2;0;1,10;10;10;10;10
60,2,1;1;1;2;2,10;10;10;10;10
65,2,2;2;2;2;2,10;10;10;10;10
70,2,2;2;2;2;2,10;10;9;9;10
75,2,2;2;2;2;2,10;10;10;10;10
80,2,2;2;2;2;2,10;10;10;10;10
85,2,2;2;2;2;2,10;10;10;10;10
90,2,2;2;2;2;2,10;11;11;11;11
95,2,2;2;2;2;2,11;11;11;11;11
100,2,2;2;2;2;2,11;11;11;11;11
105,2,2;2;2;2;2,11;11;10;10;10
110,2,2;2;2;2;2,10;10;10;10;10
115,1,2;2;2;0;0,10;10;10;10;10
120,2,1;1;1;2;2,10;10;10;10;11
125,2,2;2;2;2;2,11;11;11;11;11
130,2,2;2;2;2;2,11;11;11;11;11
135,2,2;2;2;2;2,11;11;11;11;11
140,1,2;2;2;0;0,10;11;10;10;10
145,1,1;1;1;1;1,10;10;10;10;10
150,2,1;1;1;2;2,10;10;11;11;11
155,1,2;2;2;1;1,11;11;11;11;11
160,1,1;1;1;1;1,11;11;11;11;11
165,1,1;1;1;1;1,11;11;11;11;11
170,2,1;1;1;0;0,12;12;12;12;12
175,1,2;2;2;1;1,12;12;12;12;12
180,2,1;1;1;0;0,12;12;12;12;12
185,2,2;2;2;2;2,12;12;12;12;12
190,2,2;2;2;2;2,12;12;12;12;12
195,2,2;2;2;2;2,12;12;12;12;12
200,2,2;2;2;2;2,12;12;12;12;12
205,2,2;2;2;2;2,12;12;12;12;12
210,2,2;2;2;2;2,12;12;12;12;12
215,2,2;2;2;2;2,12;12;12;12;12
220,2,2;2;2;2;2,12;12;12;12;12
225,2,2;2;2;2;2,12;12;12;12;12
230,2,2;2;2;2;2,12;12;12;12;12
235,2,2;2;2;2;2,12;12;12;12;12
240,2,2;2;2;2;2,12;12;12;12;12
245,2,2;2;2;2;2,12;12;12;12;12
250,2,2;2;2;2;2,12;12;12;12;12
255,2,2;2;2;2;2,12;12;12;12;12
260,2,2;2;2;2;2,12;12;12;12;12
265,2,2;2;2;2;2,12;12;12;12;12
270,2,2;2;2;2;2,12;12;12;12;12
275,2,2;2;2;2;2,12;12;12;12;12
280,2,2;2;2;2;2,12;12;12;12;12
285,2,2;2;2;2;2,12;12;12;12;12
290,2,2;2;2;2;2,12;12;12;12;12
295,2,2;2;2;2;2,12;12;12;12;12
300,2,2;2;2;2;2,12;12;12;12;12
305,2,2;2;2;2;2,12;12;12;12;12
310,2,2;2;2;2;2,12;12;12;12;12
315,2,2;2;2;2;2,12;12;12;12;12
320,2,2;2;2;2;2,12;12;12;12;12
325,2,2;2;2;2;2,12;12;12;12;12
330,1,2;2;2;0;0,12;12;12;12;12
335,2,0;0;1;2;2,12;12;12;12;12
340,1,2;2;2;0;0,12;12;12;12;12
345,2,0;1;1;2;2,12;12;12;12;12
350,2,2;2;2;2;2,12;12;12;12;12
355,2,2;2;2;2;2,12;12;12;12;12
360,2,2;2;2;2;2,12;12;12;12;12
365,2,2;2;2;2;2,12;12;12;12;12
370,2,2;2;2;2;2,12;12;12;12;12
375,2,2;2;2;2;2,12;12;12;12;12
380,2,2;2;2;2;2,12;12;12;12;12
385,1,2;2;2;0;0,12;12;12;12;12
390,2,0;0;1;2;2,12;12;12;12;12
395,2,2;2;2;2;2,12;12;12;12;12
400,2,2;2;2;2;2,12;12;12;12;12
405,2,2;2;2;2;2,12;12;12;12;12
410,2,2;2;2;2;2,12;12;12;12;13
415,2,2;2;2;2;2,13;13;13;13;14
420,2,2;2;2;2;2,14;14;14;14;15
425,2,2;2;2;2;2,15;15;15;15;15
430,2,2;2;2;2;2,15;15;15;15;15
435,2,2;2;2;2;2,15;15;15;15;16
440,2,2;2;2;2;2,16;16;16;16;16
445,2,2;2;2;2;2,16;16;16;16;16
450,2,2;2;2;2;2,16;17;17;17;17
455,2,2;2;2;2;2,17;17;17;17;17
460,1,2;2;2;0;0,17;17;17;17;17
465,2,0;0;0;2;2,17;17;17;17;17
470,2,2;2;2;2;2,17;17;17;17;17
475,2,2;2;2;2;2,17;17;17;17;17
480,2,2;2;2;2;2,17;17;17;17;17
485,1,2;2;2;0;0,17;17;17;17;17
490,2,0;0;0;2;2,17;17;17;17;17
495,2,2;2;2;2;2,16;16;16;16;16
500,2,2;2;2;2;2,16;16;16;16;17
505,2,2;2;2;2;2,17;17;17;17;17
510,2,2;2;2;2;2,17;17;17;17;17
515,2,2;2;2;2;2,17;17;17;17;17
520,2,2;2;2;2;2,17;17;17;17;17
525,2,2;2;2;2;2,17;17;17;17;17
530,2,2;2;2;2;2,17;17;17;17;17
535,2,2;2;2;2;2,17;17;17;17;17
540,2,2;2;2;2;2,17;17;17;17;17
545,2,2;2;2;2;2,17;17;17;17;17
550,2,2;2;2;2;2,17;17;17;17;17
555,2,2;2;2;2;2,17;17;17;17;17
560,2,2;2;2;2;2,17;17;17;17;17
565,2,2;2;2;2;2,17;17;17;17;17
570,2,2;2;2;2;2,17;17;17;17;17
575,2,2;2;2;2;2,17;17;17;17;17
580,2,2;2;2;2;2,17;17;17;17;17
585,2,2;2;2;2;2,17;17;17;17;17
590,2,2;2;2;2;2,17;17;17;17;17
595,2,2;2;2;2;2,18;18;18;18;18
600,2,2;2;2;2;2,18;18;18;18;18
605,2,2;2;2;2;2,18;18;18;18;18
610,2,2;2;2;2;2,18;18;18;18;18
615,2,2;2;2;2;2,18;18;18;18;18
620,2,2;2;2;2;2,18;18;18;18;18
625,2,2;2;2;2;2,18;18;18;18;18
630,2,2;2;2;2;2,18;18;18;18;18
635,2,2;2;2;2;2,18;18;18;18;18
640,2,2;2;2;2;2,18;18;18;18;18
645,2,2;2;2;2;2,18;18;18;18;18
650,2,2;2;2;2;2,18;18;18;18;18
655,2,2;2;2;2;2,18;18;18;18;18
660,2,2;2;2;2;2,18;18;18;19;19
665,2,2;2;2;2;2,19;19;19;19;19
670,2,2;2;2;2;2,19;19;19;19;19
675,2,2;2;2;2;2,19;19;19;19;19
680,2,2;2;2;2;2,19;19;19;19;19
685,2,2;2;2;2;2,19;19;19;19;19
690,2,2;2;2;2;2,19;19;19;19;19
695,2,2;2;2;2;2,19;19;19;19;19
700,2,2;2;2;2;2,19;19;19;19;19
705,2,2;2;2;2;2,19;19;19;19;19
710,2,2;2;2;2;2,19;19;19;19;19
715,2,2;2;2;2;2,19;19;19;19;19
720,2,2;2;2;2;2,19;19;19;19;19
725,2,2;2;2;2;2,19;19;19;19;19
730,2,2;2;2;2;2,19;19;19;19;19
735,2,2;2;2;2;2,19;19;19;19;19
740,2,2;2;2;2;2,19;19;19;19;19
745,2,2;2;2;2;2,19;19;19;19;19
750,2,2;2;2;2;2,19;19;19;19;19
755,2,2;2;2;2;2,19;19;19;19;19
760,2,2;2;2;2;2,19;19;19;19;19
765,2,2;2;2;2;2,19;19;19;19;19
770,2,2;2;2;2;2,19;19;19;19;19
775,2,2;2;2;2;2,19;19;19;19;19
780,2,2;2;2;2;2,19;19;19;19;19
785,2,2;2;2;2;2,19;19;19;19;19
790,2,2;2;2;2;2,19;19;19;19;19
795,2,2;2;2;2;2,19;19;19;19;19
800,2,2;2;2;2;2,19;19;19;19;19
805,2,2;2;2;2;2,19;19;19;19;19
810,2,2;2;2;2;2,19;19;19;19;19
815,2,2;2;2;2;2,19;19;19;19;19
820,2,2;2;2;2;2,19;19;19;19;19
825,2,2;2;2;2;2,19;19;19;19;19
830,2,2;2;2;2;2,19;19;19;19;19
835,2,2;2;2;2;2,19;19;19;19;19
840,2,2;2;2;2;2,19;19;19;19;19
845,2,2;2;2;2;2,19;19;19;19;19
850,2,2;2;2;2;2,19;19;19;19;19
855,2,2;2;2;2;2,19;19;19;19;19
860,2,2;2;2;2;2,19;19;19;19;19
865,2,2;2;2;2;2,19;19;19;19;19
870,2,2;2;2;2;2,19;19;19;19;19
875,2,2;2;2;2;2,19;19;19;19;19
880,2,2;2;2;2;2,19;19;19;19;19
885,2,2;2;2;2;2,19;19;19;19;19
890,2,2;2;2;2;2,19;19;19;19;19
895,1,2;2;2;0;0,19;19;19;19;19
900,2,0;0;0;2;2,19;19;19;19;19
905,2,2;2;2;2;2,19;19;19;19;19
910,1,2;2;2;0;0,19;19;19;19;19
915,2,0;0;0;2;2,19;19;19;19;19
920,2,2;2;2;2;2,19;19;19;19;19
925,2,2;2;2;2;2,19;19;19;19;19
930,2,2;2;2;2;2,19;19;19;19;19
935,2,2;2;2;2;2,19;19;19;19;19
940,2,2;2;2;2;2,19;19;19;19;19
945,1,2;2;2;0;0,19;19;19;19;19
950,2,0;0;0;2;2,19;19;19;19;19
955,2,2;2;2;2;2,19;19;19;19;19
960,2,2;2;2;2;2,19;19;19;19;19
965,2,2;2;2;2;2,19;19;19;19;19
970,2,2;2;2;2;2,19;19;19;19;19
975,2,2;2;2;2;2,19;19;19;19;19
980,2,2;2;2;2;2,19;19;19;19;19
985,2,2;2;2;2;2,19;19;19;19;19
990,2,2;2;2;2;2,19;19;19;19;19
995,2,2;2;2;2;2,19;19;19;19;19
1000,2,2;2;2;2;2,19;19;19;19;19
1005,2,2;2;2;2;2,19;19;19;19;19
1010,2,2;2;2;2;2,19;19;19;19;19
1015,2,2;2;2;2;2,19;19;19;19;19
1020,2,2;2;2;2;2,19;19;19;19;19
1025,2,2;2;2;2;2,19;19;19;19;19
1030,2,2;2;2;2;2,19;19;19;19;19
1035,2,2;2;2;2;2,19;19;19;19;19
1040,2,2;2;2;2;2,19;19;19;19;19
1045,2,2;2;2;2;2,19;19;19;19;19
1050,2,2;2;2;2;2,19;19;19;19;19
1055,2,2;2;2;2;2,19;19;19;19;19
1060,2,2;2;2;2;2,19;19;19;19;19
1065,2,2;2;2;2;2,19;19;19;19;19
1070,2,2;2;2;2;2,19;19;19;19;19
1075,2,2;2;2;2;2,19;19;19;19;19
1080,2,2;2;2;2;2,19;19;19;19;19
1085,2,2;2;2;2;2,19;19;19;19;19
1090,2,2;2;2;2;2,19;19;19;19;19
1095,2,2;2;2;2;2,19;19;19;19;19
1100,2,2;2;2;2;2,19;19;19;19;19
1105,2,2;2;2;2;2,19;19;19;19;19
1110,2,2;2;2;2;2,19;19;19;19;19
1115,2,2;2;2;2;2,19;19;19;19;19
1120,2,2;2;2;2;2,19;19;19;19;19
1125,2,2;2;2;2;2,19;19;19;19;19
1130,2,2;2;2;2;2,19;19;19;19;19
1135,2,2;2;2;2;2,19;19;19;19;19
1140,2,2;2;2;2;2,19;19;19;19;19
1145,2,2;2;2;2;2,19;19;19;19;19
1150,2,2;2;2;2;2,19;19;19;19;19
1155,2,2;2;2;2;2,19;19;19;19;19
1160,2,2;2;2;2;2,19;19;19;19;19
1165,2,2;2;2;2;2,19;19;19;19;19
1170,2,2;2;2;2;2,19;19;19;19;19
1175,2,2;2;2;2;2,19;19;19;19;19
1180,2,2;2;2;2;2,19;19;19;19;19
1185,2,2;2;2;2;2,19;19;19;19;19
1190,2,2;2;2;2;2,19;19;19;19;19
1195,2,2;2;2;2;2,19;19;19;19;19
1200,2,2;2;2;2;2,19;19;19;19;19
1205,2,2;2;2;2;2,19;19;19;19;19
1210,2,2;2;2;2;2,19;19;19;19;19
1215,2,2;2;2;2;2,19;19;19;19;19
1220,1,2;2;2;0;0,19;19;19;19;19
1225,2,0;0;0;2;2,19;19;19;19;19
1230,2,2;2;2;2;2,19;19;19;19;19
1235,2,2;2;2;2;2,19;19;19;19;19
1240,2,2;2;2;2;2,19;19;19;19;19
1245,2,2;2;2;2;2,19;19;19;19;19
1250,2,2;2;2;2;2,19;19;19;19;19
1255,2,2;2;2;2;2,19;19;19;19;19
1260,2,2;2;2;2;2,19;19;19;19;19
1265,2,2;2;2;2;2,19;19;19;19;19
1270,2,2;2;2;2;2,19;19;19;19;19
1275,2,2;2;2;2;2,19;19;19;19;19
1280,2,2;2;2;2;2,19;19;19;19;19
1285,1,2;2;2;0;0,19;19;19;19;19
1290,1,0;0;0;0;0,19;19;19;19;19
1295,2,0;0;0;2;2,19;19;19;19;19
1300,2,2;2;2;2;2,19;19;19;19;19
1305,2,2;2;2;2;2,19;19;19;19;19
1310,2,2;2;2;2;2,19;19;19;19;19
1315,2,2;2;2;2;2,19;19;19;19;19
1320,2,2;2;2;2;2,19;19;19;19;19
1325,2,2;2;2;2;2,19;19;19;19;19
1330,2,2;2;2;2;2,19;19;19;19;19
1335,2,2;2;2;2;2,19;19;19;19;19
1340,2,2;2;2;2;2,19;19;19;19;19
1345,2,2;2;2;2;2,19;19;19;19;19
1350,2,2;2;2;2;2,19;19;19;19;19
1355,2,2;2;2;2;2,19;19;19;19;19
1360,2,2;2;2;2;2,19;19;19;19;19
1365,2,2;2;2;2;2,19;19;19;19;19
1370,2,2;2;2;2;2,19;19;19;19;19
1375,2,2;2;2;2;2,19;19;19;19;19
1380,2,2;2;2;2;2,19;19;19;19;19
1385,2,2;2;2;2;2,19;19;19;19;19
1390,2,2;2;2;2;2,19;19;19;19;19
1395,2,2;2;2;2;2,19;19;19;19;19
1400,2,2;2;2;2;2,19;19;19;19;19
1405,2,2;2;2;2;2,19;19;19;19;19
1410,2,2;2;2;2;2,19;19;19;19;19
1415,2,2;2;2;2;2,19;19;19;19;19
1420,2,2;2;2;2;2,19;19;19;19;19
1425,2,2;2;2;2;2,19;19;19;19;19
1430,2,2;2;2;2;2,19;19;19;19;19
1435,2,2;2;2;2;2,19;19;19;19;19
1440,2,2;2;2;2;2,19;19;19;19;19
1445,2,2;2;2;2;2,19;19;19;19;19
1450,2,2;2;2;2;2,19;19;19;19;19
1455,2,2;2;2;2;2,19;19;19;19;19
1460,2,2;2;2;2;2,19;19;19;19;19
1465,2,2;2;2;2;2,19;19;19;19;19
1470,2,2;2;2;2;2,19;19;19;19;19
1475,2,2;2;2;2;2,19;19;19;19;19
1480,2,2;2;2;2;2,19;19;19;19;19
1485,2,2;2;2;2;2,19;19;19;19;19
1490,2,2;2;2;2;2,19;19;19;19;19
1495,2,2;2;2;2;2,19;19;19;19;19
1500,2,2;2;2;2;2,19;19;19;19;19
1505,2,2;2;2;2;2,19;19;19;19;19
1510,2,2;2;2;2;2,19;19;19;19;19
1515,2,2;2;2;2;2,19;19;19;19;19
1520,2,2;2;2;2;2,19;19;19;19;19
1525,2,2;2;2;2;2,19;19;19;19;19
1530,2,2;2;2;2;2,19;19;19;19;19
1535,2,2;2;2;2;2,19;19;19;19;19
1540,2,2;2;2;2;2,19;19;19;19;19
1545,2,2;2;2;2;2,19;19;19;19;19
1550,2,2;2;2;2;2,19;19;19;19;19
1555,2,2;2;2;2;2,19;19;19;19;19
1560,2,2;2;2;2;2,19;19;19;19;19
1565,2,2;2;2;2;2,19;19;19;19;19
1570,2,2;2;2;2;2,19;19;19;19;19
1575,2,2;2;2;2;2,19;19;19;19;19
1580,2,2;2;2;2;2,19;19;19;19;19
1585,2,2;2;2;2;2,19;19;19;19;19
1590,2,2;2;2;2;2,19;19;19;19;19
1595,2,2;2;2;2;2,19;19;19;19;19
1600,2,2;2;2;2;2,19;19;19;19;19
1605,2,2;2;2;2;2,19;19;19;19;19
1610,2,2;2;2;2;2,19;19;19;19;19
1615,2,2;2;2;2;2,19;19;19;19;19
1620,2,2;2;2;2;2,19;19;19;19;19
1625,2,2;2;2;2;2,19;19;19;19;19
1630,2,2;2;2;2;2,19;19;19;19;19
1635,2,2;2;2;2;2,19;19;19;19;19
1640,2,2;2;2;2;2,19;19;19;19;19
1645,2,2;2;2;2;2,19;19;19;19;19
1650,1,2;2;2;0;0,19;19;19;19;19
1655,2,0;0;0;2;2,19;19;19;19;19
1660,2,2;2;2;2;2,19;19;19;19;19
1665,2,2;2;2;2;2,19;19;19;19;19
1670,2,2;2;2;2;2,19;19;19;19;19
1675,2,2;2;2;2;2,19;19;19;19;19
1680,2,2;2;2;2;2,19;19;19;19;19
1685,2,2;2;2;2;2,19;19;19;19;19
1690,2,2;2;2;2;2,19;19;19;19;19
