Time,Commitment,Opinion,Neighbors
0,1,1,12
5,2,1;1;1;1;2,12;12;12;12;12
10,2,2;2;2;2;2,12;12;12;12;12
15,2,2;2;2;2;2,12;12;12;12;12
20,1,2;2;2;2;1,12;12;12;12;12
25,1,1;1;1;1;1,12;12;12;12;12
30,1,1;1;1;1;1,12;12;12;12;12
35,2,1;1;1;1;2,12;12;12;11;11
40,1,2;2;2;2;1,11;11;11;11;11
45,1,1;1;1;1;1,11;11;11;11;11
50,1,1;1;1;1;1,11;11;11;11;11
55,2,1;1;1;1;2,11;11;11;11;11
60,2,2;2;2;2;2,11;11;11;11;11
65,2,2;2;2;2;2,11;11;11;11;11
70,2,2;2;2;2;2,11;11;11;11;11
75,2,2;2;2;2;2,11;11;11;11;11
80,2,2;2;2;2;2,11;11;11;11;11
85,2,2;2;2;2;2,11;11;11;11;11
90,2,2;2;2;2;2,11;11;11;11;11
95,2,2;2;2;2;2,11;11;11;11;11
100,1,2;2;2;2;0,11;11;11;11;11
105,2,0;1;1;1;2,11;11;11;11;11
110,2,2;2;2;2;2,11;11;11;11;11
115,1,2;2;2;2;0,11;11;11;11;11
120,2,0;1;1;1;2,11;11;11;11;11
125,2,2;2;2;2;2,11;11;11;11;11
130,2,2;2;2;2;2,11;11;11;11;11
135,2,2;2;2;2;2,11;11;11;11;11
140,2,2;2;2;2;2,11;11;11;11;11
145,2,2;2;2;2;2,11;11;11;11;11
150,2,2;2;2;2;2,11;11;11;12;12
155,1,2;2;2;2;0,12;12;12;12;12
160,2,0;0;1;1;2,12;12;12;12;12
165,1,2;2;2;2;0,12;12;12;12;12
170,2,0;1;1;1;2,12;12;12;12;12
175,2,2;2;2;2;2,12;12;12;12;12
180,2,2;2;2;2;2,12;12;12;12;12
185,2,2;2;2;2;2,12;12;12;12;12
190,2,2;2;2;2;2,12;12;12;12;12
195,2,2;2;2;2;2,12;12;12;12;12
200,2,2;2;2;2;2,12;12;12;12;12
205,2,2;2;2;2;2,12;12;12;12;12
210,2,2;2;2;2;2,12;12;12;12;12
215,2,2;2;2;2;2,12;12;12;12;12
220,2,2;2;2;2;2,12;12;12;12;12
