Time,Commitment,Opinion,Neighbors
0,1,1,9
5,1,1;1;1;1;1,9;9;9;9;9
10,1,1;1;1;1;1,9;8;8;8;8
15,2,1;1;2;2;2,8;8;8;8;8
20,1,2;2;1;1;1,8;8;8;8;8
25,1,1;1;1;1;1,8;8;8;9;9
30,1,1;1;1;1;1,9;9;9;9;9
35,1,1;1;1;1;1,9;9;9;9;9
40,2,1;1;0;2;2,9;8;8;9;9
45,1,2;2;1;1;1,9;9;9;9;9
50,1,1;1;1;1;1,9;9;9;9;9
55,1,1;1;1;1;1,9;9;9;9;9
60,1,1;1;1;1;1,9;9;9;9;9
65,2,1;1;0;2;2,9;9;9;9;9
70,1,2;2;1;1;1,9;9;9;9;9
75,2,1;1;0;2;2,9;9;9;9;9
80,2,2;2;2;2;2,8;8;8;8;8
85,1,2;2;1;1;1,8;8;8;8;8
90,2,1;1;2;2;2,8;8;8;8;8
95,1,2;2;1;1;1,8;8;8;7;7
100,1,1;1;1;1;1,7;7;7;7;7
105,2,1;1;2;2;2,7;7;7;7;7
110,2,2;2;2;2;2,7;7;7;7;6
115,2,2;2;2;2;2,6;6;6;6;6
120,1,2;2;0;1;1,6;6;6;6;6
125,2,1;1;2;2;2,6;6;6;6;6
130,2,2;2;2;2;2,6;6;6;6;6
135,2,2;2;2;2;2,6;6;6;6;6
140,1,2;2;0;0;1,6;6;6;6;6
145,2,1;1;2;2;2,6;6;6;6;6
150,2,2;2;2;2;2,6;6;6;6;6
155,2,2;2;2;2;2,6;6;6;6;6
160,2,2;2;2;2;2,6;6;6;6;6
165,2,2;2;2;2;2,6;6;6;6;6
170,2,2;2;2;2;2,6;6;6;6;6
175,1,2;2;0;0;1,6;6;6;6;6
180,2,1;1;2;2;2,6;6;6;6;6
185,2,2;2;2;2;2,6;6;6;6;6
190,2,2;2;2;2;2,6;6;6;6;6
195,2,2;2;2;2;2,6;6;6;6;6
200,2,2;2;2;2;2,6;6;6;6;6
205,2,2;2;2;2;2,6;6;6;6;6
210,2,2;2;2;2;2,6;6;6;6;6
215,2,2;2;2;2;2,6;6;6;6;6
220,2,2;2;2;2;2,6;6;6;6;6
225,2,2;2;2;2;2,6;6;6;6;7
230,1,2;2;0;0;0,7;7;7;7;7
235,2,1;1;2;2;2,7;7;7;7;7
240,1,2;2;0;0;1,7;7;7;7;7
245,1,1;1;1;1;1,7;7;7;7;7
250,2,1;1;2;2;2,7;6;6;6;6
255,2,2;2;2;2;2,6;6;6;6;6
260,2,2;2;2;2;2,6;6;6;6;6
265,2,2;2;2;2;2,6;6;6;6;6
