Time,Commitment,Opinion,Neighbors
0,1,1,6
5,1,1;1;1;1;1,6;6;6;6;6
10,1,1;1;1;1;1,6;6;6;6;6
15,1,1;1;1;1;1,6;6;6;6;6
20,2,1;2;2;2;2,6;6;6;6;6
25,2,2;2;2;2;2,6;6;6;6;6
30,2,2;2;2;2;2,6;6;6;6;6
35,1,2;1;1;1;1,6;6;6;6;6
40,1,1;1;1;1;1,6;6;5;5;5
45,1,1;1;1;1;1,5;5;5;5;5
50,2,1;0;2;2;2,5;4;4;4;4
55,2,2;2;2;2;2,4;4;4;4;4
60,2,2;2;2;2;2,4;4;4;4;4
65,2,2;2;2;2;2,4;4;4;4;4
70,2,2;2;2;2;2,4;4;4;4;4
75,2,2;2;2;2;2,4;4;4;4;4
80,2,2;2;2;2;2,4;4;4;4;4
85,2,2;2;2;2;2,4;4;4;4;4
90,2,2;2;2;2;2,4;5;5;5;5
95,1,2;0;1;1;1,5;5;5;5;5
100,1,1;1;1;1;1,5;5;5;5;5
105,1,1;1;1;1;1,5;5;5;5;5
110,1,1;1;1;1;1,5;5;5;5;5
115,2,1;0;0;2;2,5;5;5;5;5
120,2,2;2;2;2;2,5;5;5;5;5
125,1,2;1;1;1;1,5;5;5;5;5
130,1,1;1;1;1;1,5;5;5;5;5
135,2,1;0;2;2;2,5;5;5;5;5
140,1,2;1;1;1;1,5;5;5;5;5
145,1,1;1;1;1;1,5;5;5;5;5
150,1,1;1;1;1;1,5;5;5;5;5
155,1,1;1;1;1;1,5;5;6;6;7
160,1,1;1;1;1;1,8;8;8;8;8
165,1,1;1;1;1;1,8;8;9;9;9
170,1,1;1;1;1;1,9;9;9;9;9
175,1,1;1;1;1;1,9;9;9;9;9
180,1,1;1;1;1;1,9;9;9;9;9
185,1,1;1;1;1;1,9;9;9;9;9
190,2,1;0;0;0;2,9;9;9;9;9
195,1,2;1;1;1;1,9;9;9;9;9
200,1,1;1;1;1;1,9;9;9;9;9
205,1,1;1;1;1;1,9;9;9;9;9
210,1,1;1;1;1;1,9;9;9;9;9
215,1,1;1;1;1;1,9;9;9;9;9
220,1,1;1;1;1;1,9;9;9;9;9
225,1,1;1;1;1;1,9;9;9;9;9
230,1,1;1;1;1;1,9;9;9;9;9
235,1,1;1;1;1;1,9;9;9;9;9
240,1,1;1;1;1;1,9;9;9;9;9
245,1,1;1;1;1;1,9;9;9;9;9
250,1,1;1;1;1;1,9;9;9;9;9
255,1,1;1;1;1;1,9;9;9;9;9
260,1,1;1;1;1;1,9;9;9;9;9
265,1,1;1;1;1;1,9;10;10;10;10
270,1,1;1;1;1;1,10;10;10;10;10
275,1,1;1;1;1;1,10;11;11;11;11
280,1,1;1;1;1;1,11;11;11;11;11
285,1,1;1;1;1;1,11;11;11;11;11
290,1,1;1;1;1;1,11;11;11;11;11
295,1,1;1;1;1;1,11;11;11;11;11
300,1,1;1;1;1;1,12;12;12;12;12
305,1,1;1;1;1;1,12;12;12;12;12
310,1,1;1;1;1;1,12;12;12;12;12
315,1,1;1;1;1;1,12;12;12;12;12
320,1,1;1;1;1;1,12;12;12;12;12
325,1,1;1;1;1;1,12;12;12;12;12
330,1,1;1;1;1;1,12;12;11;11;11
335,1,1;1;1;1;1,10;10;10;10;10
340,1,1;1;1;1;1,10;10;10;10;10
345,1,1;1;1;1;1,10;10;10;10;10
350,1,1;1;1;1;1,10;10;10;10;10
355,1,1;1;1;1;1,10;10;10;10;10
360,1,1;1;1;1;1,10;10;10;10;10
365,1,1;1;1;1;1,10;10;10;10;10
370,1,1;1;1;1;1,10;10;10;10;11
375,1,1;1;1;1;1,11;11;11;11;11
380,1,1;1;1;1;1,11;11;11;11;11
385,1,1;1;1;1;1,11;11;11;11;11
390,1,1;1;1;1;1,11;11;11;11;11
395,1,1;1;1;1;1,11;11;11;11;11
400,1,1;1;1;1;1,11;11;11;11;11
405,1,1;1;1;1;1,11;11;11;11;11
410,1,1;1;1;1;1,11;11;11;11;11
415,1,1;1;1;1;1,11;11;11;11;11
420,1,1;1;1;1;1,11;11;11;11;11
425,1,1;1;1;1;1,11;11;11;11;12
430,1,1;1;1;1;1,12;12;12;12;12
435,1,1;1;1;1;1,12;12;12;12;12
440,1,1;1;1;1;1,12;12;12;12;12
445,1,1;1;1;1;1,12;12;12;12;12
450,1,1;1;1;1;1,12;12;12;12;12
455,1,1;1;1;1;1,12;13;13;13;13
460,1,1;1;1;1;1,13;13;13;13;13
465,2,1;0;0;0;0,13;13;13;13;12
470,1,0;1;1;1;1,12;12;12;12;12
475,1,1;1;1;1;1,12;12;12;12;12
480,1,1;1;1;1;1,12;12;12;12;12
485,1,1;1;1;1;1,12;12;12;12;12
490,1,1;1;1;1;1,12;12;12;12;12
495,1,1;1;1;1;1,12;12;12;12;12
500,1,1;1;1;1;1,12;13;13;13;13
505,1,1;1;1;1;1,13;13;13;13;13
510,1,1;1;1;1;1,13;13;13;13;13
515,1,1;1;1;1;1,13;13;13;13;13
520,1,1;1;1;1;1,13;14;14;14;14
525,1,1;1;1;1;1,14;14;14;14;14
530,1,1;1;1;1;1,14;14;14;14;14
535,1,1;1;1;1;1,14;14;14;14;14
540,1,1;1;1;1;1,14;14;14;14;14
545,1,1;1;1;1;1,14;14;14;14;14
550,1,1;1;1;1;1,14;14;14;14;14
555,1,1;1;1;1;1,14;14;14;14;14
560,1,1;1;1;1;1,14;14;14;14;14
565,1,1;1;1;1;1,14;14;14;14;14
570,1,1;1;1;1;1,14;14;14;14;14
575,1,1;1;1;1;1,14;14;14;14;14
580,1,1;1;1;1;1,14;14;14;14;14
585,1,1;1;1;1;1,14;14;14;14;14
590,1,1;1;1;1;1,14;14;14;14;14
595,1,1;1;1;1;1,14;14;14;14;14
600,1,1;1;1;1;1,14;13;13;13;13
605,1,1;1;1;1;1,13;13;13;13;13
610,1,1;1;1;1;1,13;13;13;13;13
615,1,1;1;1;1;1,13;13;13;13;13
620,1,1;1;1;1;1,13;13;13;13;13
625,1,1;1;1;1;1,13;13;13;13;13
630,1,1;1;1;1;1,13;13;13;13;13
635,1,1;1;1;1;1,13;13;13;13;13
640,1,1;1;1;1;1,13;13;13;13;13
645,1,1;1;1;1;1,13;13;13;13;13
650,1,1;1;1;1;1,13;13;13;13;13
655,1,1;1;1;1;1,13;13;13;13;13
660,1,1;1;1;1;1,13;13;13;14;14
665,1,1;1;1;1;1,14;14;14;14;14
670,1,1;1;1;1;1,14;15;15;15;15
675,1,1;1;1;1;1,15;15;15;15;15
680,1,1;1;1;1;1,15;15;15;15;15
685,1,1;1;1;1;1,15;15;15;15;15
690,1,1;1;1;1;1,15;15;15;15;15
695,1,1;1;1;1;1,15;15;15;15;15
700,1,1;1;1;1;1,15;15;15;15;15
705,2,1;0;0;0;0,15;15;15;15;15
710,1,0;1;1;1;1,15;15;15;15;15
715,1,1;1;1;1;1,15;15;15;15;15
720,1,1;1;1;1;1,15;15;15;15;15
725,1,1;1;1;1;1,15;15;15;15;15
730,2,1;0;0;0;0,15;15;15;15;15
735,1,0;1;1;1;1,15;15;15;15;15
740,1,1;1;1;1;1,15;15;15;15;15
745,1,1;1;1;1;1,15;15;15;15;15
750,1,1;1;1;1;1,15;15;15;15;15
755,2,1;0;0;0;0,15;15;15;15;15
760,1,0;1;1;1;1,15;15;15;15;15
765,1,1;1;1;1;1,15;15;15;15;15
770,1,1;1;1;1;1,15;15;15;15;15
775,1,1;1;1;1;1,15;15;15;15;15
780,1,1;1;1;1;1,15;15;15;15;15
785,1,1;1;1;1;1,15;15;15;15;15
790,1,1;1;1;1;1,15;15;15;15;15
795,1,1;1;1;1;1,15;15;15;15;15
800,1,1;1;1;1;1,15;15;15;15;15
805,1,1;1;1;1;1,15;15;15;15;15
810,1,1;1;1;1;1,15;15;15;15;15
815,1,1;1;1;1;1,15;15;15;15;15
820,1,1;1;1;1;1,15;15;15;15;15
825,1,1;1;1;1;1,15;15;15;15;15
830,1,1;1;1;1;1,15;15;15;15;15
835,1,1;1;1;1;1,15;15;15;15;15
840,1,1;1;1;1;1,15;15;15;15;15
845,1,1;1;1;1;1,15;15;15;16;16
